id,sku,name,description,tamanho,cor,modelo,acabamento,tipo
825,BN189,Bibelot Tangerina,"Bibelot decorativo com motivo de tangerina. Dimensões: 4x3,5 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",4x3.5 cm,"","","",""
826,BN190S,Bibelot Pêra,"Bibelot decorativo com motivo de pêra. Dimensões: 5x3 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",5x3 cm,"","","",""
827,BN212,Bibelot Flores,"Bibelot decorativo com motivo de flores. Dimensões: 8x8 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",8x8 cm,"","","",""
828,BN215M,Bibelot Elefante,"Bibelot decorativo com motivo de elefante. Dimensões: 21x9 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
832,BN330,Bibelot Duas Maçãs,"Bibelot decorativo com motivo de maçã. Dimensões: 5x2,5 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",5x2.5 cm,"","","",""
834,BN404S,Bibelot Maçã Amarela,"Bibelot decorativo com motivo de maçã. Dimensões: 6x6 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",6x6 cm,"","","",""
835,BN406S,Bibelot Pêra,"Bibelot decorativo com motivo de pêra. Dimensões: 10x7 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",10x7 cm,"","","",""
836,BN407L,Bibelot Limão,"Bibelot decorativo com motivo de limão. Dimensões: 10x6 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
837,BN506M,Bibelot Mocho,"Bibelot decorativo com motivo de mocho. Altura: 21 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",Altura 21 cm,"",Mocho,"",""
838,BN521,Bibelot Cesta,"Bibelot decorativo com motivo de cesta. Dimensões: 4x4,5 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
841,BN676,Bibelot Lobo,"Bibelot decorativo com motivo de lobo. Altura: 7,9 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
844,BN729,Bibelot Laranja,"Bibelot decorativo com motivo de laranja. Dimensões: 8x7 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
845,BN879,Bibelot Espiral Flor,"Bibelot decorativo com motivo de espiral. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","",Flor,"",""
846,BN880,Bibelot Espiral Fruta,"Bibelot decorativo com motivo de fruta. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
847,BN886R,Bibelot Flores,"Bibelot decorativo com motivo de flores. Dimensão: 7,5 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",7.5 cm,"","","",""
850,B050321,Búzio Decorativo,"Búzio Decorativo. Dimensões: 25x10 cm. Peça com acabamento cuidado, ideal para oferta ou decoração.",25x10 cm,"","","",""
851,R400,Despeja Bolsos Coração,"Despeja Bolsos Coração. Dimensões: 7x5 cm. Peça com acabamento cuidado, ideal para oferta ou decoração.","","",Coração,"",""
852,R408,Bibelot Flores,"Bibelot decorativo com motivo de flores. Dimensões: 7x11 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
855,R420,Bibelot Joaninha,"Bibelot decorativo com motivo de joaninha. Dimensões: 7x8 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",7x8 cm,"","","",""
856,R451,Bibelot Girassol,"Bibelot decorativo com motivo de girassol. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
858,R500,Bibelot Flores,"Bibelot decorativo com motivo de flores. Dimensões: 9x5 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
859,R704,Porta-Chaves,"Porta-chaves com design original. Peça prática e decorativa, ideal para oferta.","","","","",""
860,A7036/01,Porta-Rosário Comunhão Madeira,Porta-Rosário Comunhão Madeira. Dimensões: 8x8 cm. Ideal para cerimónias de comunhão.,8x8 cm,"","","",""
861,A7015/01,Porta-Rosário Comunhão Madeira,Porta-Rosário Comunhão Madeira. Dimensões: 8x8 cm. Ideal para cerimónias de comunhão.,8x8 cm,"","","",""
862,A7016/01,Porta-Rosário Comunhão   Pele,"Porta-Rosário Comunhão PVD Pele. Dimensões: 7,5x7,5 cm. Ideal para cerimónias de comunhão.","","","","",""
863,A7035/01,Porta-Rosário Comunhão Pele,"Porta-Rosário Comunhão Pele. Dimensões: 7,5x7,5 cm. Ideal para cerimónias de comunhão.","","","","",""
864,A7031/20,Álbum Comunhão,Álbum Comunhão PVD. Dimensões: 20x25 cm. Ideal para cerimónias de comunhão.,20x25 cm,"","","",""
866,A7030/10,Moldura Comunhão,Moldura com acabamento PVD com design elegante para exposição de fotografias. Dimensões: 10x15 cm. Ideal para cerimónias de comunhão.,10x15 cm,"","","",""
870,A223MB,Moldura Comunhão Madeira,"Moldura decorativa com acabamento PVD para fotografias, com design cuidado e acabamento premium. Dimensões: 13x18 cm. Ideal para cerimónias de comunhão.",13x18 cm,"","","",""
871,B4671D,Moldura Comunhão,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 9x13 cm. Ideal para cerimónias de comunhão.",9x13 cm,"","","",""
872,B6710D,Moldura Comunhão,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 9x13 cm. Ideal para cerimónias de comunhão.",9x13 cm,"","","",""
873,B6810B,Moldura Comunhão Bilaminada,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 13x18 cm. Ideal para cerimónias de comunhão.",13x18 cm,"","","",""
874,A380B,Moldura Comunhão,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 13x18 cm. Ideal para cerimónias de comunhão.",13x18 cm,"","","",""
875,B6817,Moldura Comunhão GBG,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Ideal para cerimónias de comunhão.","","","","",""
876,B6818,Moldura Comunhão GBG,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Ideal para cerimónias de comunhão.","","","","",""
880,B6831B,Moldura Comunhão Bilaminada,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 13x18 cm. Ideal para cerimónias de comunhão.",13x18 cm,"","","",""
881,B6727,Porta-Chaves Comunhão,"Porta-chaves com design original. Peça prática e decorativa, ideal para oferta.","","","","",""
882,B5918/1634D,Moldura Bilaminada Comunhão,"Moldura decorativa em madeira para fotografias, com design cuidado e acabamento premium. Dimensões: 9x13 cm. Ideal para cerimónias de comunhão.",9x13 cm,"","","",""
883,B5918D/1634D,Moldura Bilaminada Comunhão,"Moldura decorativa em madeira para fotografias, com design cuidado e acabamento premium. Dimensões: 9x13 cm. Ideal para cerimónias de comunhão.",9x13 cm,"","","",""
885,B1898-04G,Recordação de Comunhão,"Recordação comemorativa com acabamento cuidado. Dimensões: 5,5x10 cm. Ideal para cerimónias de comunhão.","","","","",""
890,B6074,Caixa Madeira Comunhão com Terços,Caixa decorativa em madeira com acabamento cuidado. Dimensões: 9x11 cm. Ideal para cerimónias de comunhão.,"","","","",""
891,B6075,Caixa Madeira Comunhão com Terços,Caixa decorativa em madeira com acabamento cuidado. Dimensões: 9x11 cm. Ideal para cerimónias de comunhão.,"","","","",""
892,B6134/C,Caixa Madeira Comunhão,Caixa decorativa em madeira com acabamento cuidado. Dimensões: 10x15 cm. Ideal para cerimónias de comunhão.,10x15 cm,"","","",""
893,B6104/C,Caixa Madeira Comunhão,Caixa decorativa em madeira com acabamento cuidado. Dimensões: 9x11 cm. Ideal para cerimónias de comunhão.,"","","","",""
894,B2233ALB,Álbum Comunhão Capa de Linho,Álbum Comunhão Capa de Linho. Dimensões: 29x23 cm. Ideal para cerimónias de comunhão.,"","","","",""
895,B2135ALBL,Álbum Comunhão Capa de Linho,Álbum Comunhão Capa de Linho. Dimensões: 29x23 cm. Ideal para cerimónias de comunhão.,"","","","",""
896,B264/2ALB,Álbum Comunhão Capa de Linho,Álbum Comunhão Capa de Linho. Dimensões: 29x23 cm. Ideal para cerimónias de comunhão.,"","","","",""
897,B2057ALB,Álbum Comunhão Capa de Linho,Álbum Comunhão Capa de Linho. Dimensões: 29x23 cm. Ideal para cerimónias de comunhão.,"","","","",""
900,B10689,Recordação de Comunhão,Recordação comemorativa com acabamento cuidado. Dimensões: 10x13 cm. Ideal para cerimónias de comunhão.,"","","","",""
901,B10687,Recordação de Comunhão,Recordação comemorativa com acabamento cuidado. Dimensões: 9x13 cm. Ideal para cerimónias de comunhão.,9x13 cm,"","","",""
902,B10682,Recordação de Comunhão,Recordação comemorativa com acabamento cuidado. Dimensões: 10x10 cm. Ideal para cerimónias de comunhão.,10x10 cm,"","","",""
903,B10683,Recordação de Comunhão,Recordação comemorativa com acabamento cuidado. Dimensões: 10x10 cm. Ideal para cerimónias de comunhão.,10x10 cm,"","","",""
904,B1635CX,Caixa Madeira Motivo Comunhão,"Caixa decorativa em bilaminado com acabamento cuidado. Dimensões: 10x8,5 cm. Ideal para cerimónias de comunhão.","","","","",""
905,B2233CXL,Caixa Comunhão,Caixa decorativa com acabamento cuidado. Dimensões: 13x4 cm. Ideal para cerimónias de comunhão.,"","","","",""
906,B369CXL,Caixa Comunhão,Caixa decorativa com acabamento cuidado. Dimensões: 13x4 cm. Ideal para cerimónias de comunhão.,"","","","",""
907,P2431,Moldura em Prata Comunhão,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Dimensões: 20x25 cm. Ideal para cerimónias de comunhão.",20x25 cm,"","","",""
908,PM1883,Cruz Chapa Prata,"Cruz em prata com acabamento cuidado. Dimensões: 2,5x2,5 cm.","","","","",""
911,PM1882,Cruz Chapa Prata,"Cruz em prata com acabamento cuidado. Dimensões: 2,5x2,5 cm.","","","","",""
912,PCR07160,Cruz Chapa Prata,"Cruz em prata com acabamento cuidado. Dimensões: 1,7x2,5 cm.","","","","",""
915,PP5322,Pulseira Dezena Prata,Pulseira dezena em prata com acabamento polido. Peça de joalharia devocional.,"","","","",""
916,PP5321,Pulseira Dezena Prata,Pulseira dezena em prata com acabamento polido. Peça de joalharia devocional.,"","","","",""
918,PP2726,Pulseira Dezena Prata,Pulseira dezena em prata com acabamento polido. Peça de joalharia devocional.,"","","","",""
919,P2474,Álbum Prata Comunhão,Álbum Prata Comunhão. Dimensões: 20x25 cm. Ideal para cerimónias de comunhão.,20x25 cm,"","","",""
920,B6728,Porta-Chaves Comunhão,"Porta-chaves com design original. Peça prática e decorativa, ideal para oferta.","","","","",""
921,B6740,Porta-Chaves Comunhão,"Porta-chaves com design original. Peça prática e decorativa, ideal para oferta.","","","","",""
922,P81C,Moldura PRATA Nossa Senhora de FATIMA,Imagem de Nossa Senhora de Fátima em prata. Dimensões: 10x15 cm. Peça devocional elegante para decoração e contemplação.,10x15 cm,"","","",""
923,AE50079/1A,Cristo com Cruz de Madeira,Cruz em madeira com acabamento cuidado.,"","","","",""
925,BN903M,Cristo sem Cruz de Madeira,Cruz em madeira com acabamento cuidado. Dimensões: 35x52 cm.,"","","","",""
927,A949MO,Sagrada Família,Imagem da Sagrada Família com acabamento artístico. Altura: 30 cm. Peça devocional elegante para decoração e contemplação.,30 cm,"","","",""
928,A1434MO,Sagrada Família,"Imagem da Sagrada Família com acabamento artístico. Altura: 19,5 cm. Peça devocional elegante para decoração e contemplação.","","","","",""
929,BA3290MO,Sagrada Família,Imagem da Sagrada Família com acabamento artístico. Altura: 13 cm. Peça devocional elegante para decoração e contemplação.,Altura 13 cm,"","","",""
932,BN251,Nossa Senhora de Fátima,Imagem de Nossa Senhora de Fátima. Altura: 25 cm. Peça devocional elegante para decoração e contemplação.,Altura 25 cm,"","","",""
933,BN250S,Nossa Senhora de Fátima,Imagem de Nossa Senhora de Fátima. Altura: 15 cm. Peça devocional elegante para decoração e contemplação.,"","","","",""
934,BN559FG,Nossa Senhora de Fátima Dourado,Imagem de Nossa Senhora de Fátima. Dimensão: 31 cm. Peça devocional elegante para decoração e contemplação.,Altura 30 cm,"","","",""
937,B38/5112,Quadro,"Quadro decorativo em bilaminado com motivo religioso, ideal para decoração de interiores. Dimensões interiores: 27x34 cm. Dimensões exteriores: 43x50 cm.","","","","",""
940,A19/2,Imagem Sagrada Familia,Imagem da Sagrada Família com acabamento PVD com acabamento artístico. Dimensões: 23x23 cm. Peça devocional elegante para decoração e contemplação.,"","","","",""
941,B1723G,Imagem,Imagem religiosa em bilaminado com acabamento detalhado. Dimensões: 26x36 cm. Peça devocional elegante para decoração.,"","","","",""
942,P2432,Álbum Prata Comunhão,Álbum Prata Comunhão. Dimensões: 20x25 cm. Ideal para cerimónias de comunhão.,20x25 cm,"","","",""
945,B38/5129,Quadro,"Quadro decorativo em bilaminado com motivo religioso, ideal para decoração de interiores. Dimensões exteriores: 52,5x42 cm. Dimensões interiores: 34x24 cm.","","","","",""
949,A466,Imagem Sagrada Família,Imagem da Sagrada Família com acabamento PVD com acabamento artístico. Dimensões: 20x25 cm. Peça devocional elegante para decoração e contemplação.,20x25 cm,"","","",""
950,B15/5260,Quadro,"Quadro decorativo em bilaminado com motivo religioso, ideal para decoração de interiores. Dimensões: 38x34,5 cm.","","","","",""
951,B1564M,Quadro Madeira Comimagem Sagrada Família,Imagem da Sagrada Família em bilaminado com acabamento artístico. Dimensões interiores: 12x17 cm. Dimensões exteriores: 34x29 cm. Peça devocional elegante para decoração e contemplação.,"","","","",""
952,B44/4670,Imagem de Papa Francisco,Imagem religiosa com acabamento detalhado. Dimensões: 27x34 cm. Peça devocional elegante para decoração.,"","","","",""
957,B1740M,Imagem,Imagem religiosa em bilaminado com acabamento detalhado. Dimensões: 14x23 cm. Peça devocional elegante para decoração.,"","","","",""
958,A464,Imagem,Imagem religiosa em bilaminado com acabamento detalhado. Dimensões: 30x11 cm. Peça devocional elegante para decoração.,"","","","",""
961,B38/5126,Quadro Imagem de Anjos,"Figura decorativa de anjo em bilaminado, com acabamento delicado e expressivo. Dimensões exteriores: 52,5x42 cm. Dimensões interiores: 34x24 cm.","","","","",""
962,P27/0007,Álbum Prata Comunhão,Álbum Prata Comunhão. Ideal para cerimónias de comunhão.,"","","","",""
963,B15/5178,Quadro,"Quadro decorativo em bilaminado com motivo religioso, ideal para decoração de interiores. Dimensões exteriores: 55x52 cm. Dimensões interiores: 38x34,5 cm.","","","","",""
964,B15/5229,Quadro,"Quadro decorativo em bilaminado com motivo religioso, ideal para decoração de interiores. Dimensões exteriores: 55x52 cm. Dimensões interiores: 37x33,5 cm.","","","","",""
965,B15/5231,Quadro,"Quadro decorativo em bilaminado com motivo religioso, ideal para decoração de interiores. Dimensões exteriores: 55x52 cm. Dimensões interiores: 37x33 cm.","","","","",""
966,B15/5112,Moldura em Pele Imagem Bilaminada,"Moldura decorativa em pele para fotografias, com design cuidado e acabamento premium. Dimensões exteriores: 31x53 cm. Dimensões interiores: 15x36,5 cm.","","","","",""
968,B584B,Moldura,Moldura com design elegante para exposição de fotografias. Dimensões: 13x18 cm.,13x18 cm,"","","",""
969,B585B,Moldura,Moldura com design elegante para exposição de fotografias. Dimensões: 13x18 cm.,13x18 cm,"","","",""
977,B1406A,Moldura,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 20x20 cm.,20x20 cm,"","","",""
980,B5781A,Moldura,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 18x18 cm.,18x18 cm,"","","",""
982,B1314AL,Moldura Liso,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 18x24 cm.,18x24 cm,"","","",""
989,B16/8026,Moldura,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 20x25 cm.,20x25 cm,"","","",""
990,B5683N,Moldura Martelado,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 20x25 cm.,20x25 cm,"","","",""
991,B1600A,Moldura Martelado Forte,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 18x24 cm.,18x24 cm,"","","",""
993,B1299S,Moldura Martelado,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 15x20 cm.,15x20 cm,"","","",""
994,B1298S,Moldura Martelado,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 15x20 cm.,15x20 cm,"","","",""
995,B1326A,Moldura,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 18x24 cm.,18x24 cm,"","","",""
996,B1327A,Moldura,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 18x24 cm.,18x24 cm,"","","",""
997,B1307N,Moldura,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 20x25 cm.,20x25 cm,"","","",""
998,B1506/4,Moldura Martelado,Moldura para 4 fotografias em bilaminado com design elegante para exposição de fotografias. Dimensões: 9x13 cm.,9x13 cm,"","","",""
1001,AE6115CSN,Pack de 3 Moldura s,"Moldura decorativa com acabamento PVD para fotografias, com design cuidado e acabamento premium. Dimensões: 10x15 cm.",10x15 cm,"","","",""
1003,AE6202/13,Moldura Corações,Moldura com acabamento PVD com design elegante para exposição de fotografias. Dimensões: 13x18 cm.,13x18 cm,"",Corações,"",""
1006,A323A,Moldura,Moldura com design elegante para exposição de fotografias. Dimensões: 18x24 cm.,18x24 cm,"","","",""
1007,A308A,Moldura,Moldura com design elegante para exposição de fotografias. Dimensões: 18x24 cm.,18x24 cm,"","","",""
1010,AE6206/20,Moldura,Moldura com acabamento PVD com design elegante para exposição de fotografias. Dimensões: 20x25 cm.,20x25 cm,"","","",""
1013,B1675,Guarda-Jóias,"Guarda-Jóias em bilaminado com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 16x11 cm.",16x11 cm,"","","",""
1014,B1599CX,Guarda-Jóias,"Guarda-Jóias com acabamento PVD com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 12x10 cm.","","","","",""
1015,B2199CX,Guarda-Jóias,"Guarda-Jóias com acabamento PVD com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 12x10 cm.","","","","",""
1016,B1597DCX,Caixa Madeira,"Caixa decorativa em bilaminado com acabamento cuidado. Dimensões: 10x8,5 cm.","","","","",""
1017,B2359CX,Caixa Madeira,"Caixa decorativa em bilaminado com acabamento cuidado. Dimensões: 10x8,5 cm.","","","","",""
1018,B1184CX,Caixa Madeira,"Caixa decorativa em bilaminado com acabamento cuidado. Dimensões: 10x8,5 cm.","","","","",""
1022,A122B,Moldura Árvore da Vida,Moldura com design elegante para exposição de fotografias. Dimensões: 13x18 cm.,13x18 cm,"","","",""
1031,A9077/13C,Guarda-Jóias,"Guarda-Jóias com acabamento PVD com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 13x9 cm.",13x9 cm,"","","",""
1038,A9237/13C,Guarda-Jóias,"Guarda-Jóias em Madeira acabamento PVD com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 18x13 cm.",18x13 cm,"","","",""
1040,A9247/13C,Guarda-Jóias,"Guarda-Jóias com acabamento PVD com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 18x13 cm. Ideal para celebrar bodas de ouro (50 anos).",18x13 cm,"",50 Anos,"",""
1047,B1312B,Moldura Casamento,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 13x18 cm. Ideal para celebrações de casamento.",13x18 cm,"",Casamento,"",""
1048,B1399A/25,Moldura Casamento,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 18x24 cm. Ideal para celebrações de casamento.",18x24 cm,"",25 Anos,"",""
1049,B1397B/50,Moldura Casamento,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 13x18 cm. Ideal para celebrar bodas de ouro (50 anos).",13x18 cm,"",50 Anos,"",""
1050,B1370C/25,Moldura Casamento,"Moldura decorativa em bilaminado para fotografias, com design cuidado e acabamento premium. Dimensões: 10x15 cm. Ideal para celebrar bodas de prata (25 anos).",10x15 cm,"",25 Anos,"",""
1051,B1380C/00,Moldura Casamento,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 10x15 cm. Ideal para celebrações de casamento.,10x15 cm,"",Casamento,"",""
1054,B16/7300,Moldura Casamento Casamento Douradas,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 18x24 cm. Ideal para celebrações de casamento.",18x24 cm,"",Casamento,"",""
1055,B26/4780,Moldura Casamento,Moldura com design elegante para exposição de fotografias. Dimensões: 18x24 cm. Ideal para celebrações de casamento 25 Anos com Alianças.,18x24 cm,"",25 Anos,"",""
1056,B40/0049,Moldura Casamento,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 13x18 cm. Ideal para celebrações de casamento.",13x18 cm,"",Casamento,"",""
1058,B6000/18,Moldura,Moldura com design elegante para exposição de fotografias. Dimensões: 18x24 cm. Ideal para celebrar bodas de prata (25 anos).,18x24 cm,"",25 Anos,"",""
1060,B8113B/25,Moldura Tripla Com Placa,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 13x18 cm. Ideal para celebrar bodas de prata (25 anos).",13x18 cm,"",25 Anos,"",""
1061,P001G,Placa de Casamento,Placa em prata para gravação personalizada. Dimensões: 22x9 cm. Ideal para celebrações de casamento (50 Anos).,22x9 cm,"",50 Anos,"",""
1065,P12/8015,Moldura Prata Casamento,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Dimensões: 10x15 cm. Ideal para celebrar bodas de ouro (50 anos).",10x15 cm,"",50 Anos,"",""
1067,P17/7021,Guarda-Jóias Alianças,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 21x16 cm.","","",Casamento,"",""
1068,P18/12013-S,Moldura Tripla Prata,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Dimensões: 6x9 cm.",6x9 cm,"","","",""
1070,P25CX,Guarda-Jóias,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 12x10 cm.","","","","",""
1071,A22/2,Imagem Sagrada Família,Imagem da Sagrada Família com acabamento PVD com acabamento artístico. Dimensões: 18x24 cm. Peça devocional elegante para decoração e contemplação.,18x24 cm,"","","",""
1075,B17/2601,Moldura Casamento,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 13x18 cm. Ideal para celebrações de casamento.",13x18 cm,"",Casamento,"",""
1092,A492AF/0,Moldura Casamento,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 18x24 cm. Ideal para celebrações de casamento.",18x24 cm,"",Casamento,"",""
1093,A489/25,Guarda-Jóias Casamento,"Guarda-Jóias Casamento, com design cuidado e acabamento premium. Dimensões: 11x16x5 cm. Ideal para celebrações de casamento 25 Anos.",11x16x5 cm,"",25 Anos,"",""
1100,A410B/25,Moldura Casamento,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 13x18 cm. Ideal para celebrações de casamento 25 Anos.",13x18 cm,"",25 Anos,"",""
1101,A420A/50,Moldura Casamento,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Ideal para celebrar bodas de ouro e prata ( 25 e 50 anos).","","",50 Anos,"",""
1104,A432/25,Guarda-Jóias Casamento,"Guarda-Jóias com acabamento PVD com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 11x16 cm. Ideal para celebrações de casamento.","","",25 Anos,"",""
1105,A442/25,Guarda-Jóias Casamento,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 11x16 cm. Ideal para celebrações de casamento 25 Anos.",11x16 cm,"",25 Anos,"",""
1106,A441/25,Guarda-Jóias Casamento,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 9x13 cm. Ideal para celebrações de casamento 25 Anos.",9x13 cm,"",25 Anos,"",""
1107,A421/25,Guarda-Jóias Casamento,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 9x13 cm. Ideal para celebrações de casamento 25 Anos.",9x13 cm,"",25 Anos,"",""
1108,A351/25,Guarda-Jóias Casamento,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 9x13 cm. Ideal para celebrações de casamento 25 Anos.",9x13 cm,"",25 Anos,"",""
1111,B1371/25,Guarda-Jóias Casamento,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 9x13 cm. Ideal para celebrações de casamento 25 Anos.",9x13 cm,"",25 Anos,"",""
1112,B1372/25,Guarda-Jóias Casamento,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 11x16 cm. Ideal para celebrações de casamento 25 Anos.",11x16 cm,"",25 Anos,"",""
1113,B8114/25,Guarda-Jóias Casamento,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 13x18 cm. Ideal para celebrações de casamento 25 Anos.",13x18 cm,"",25 Anos,"",""
1114,B8124/00,Guarda-Jóias Casamento Alianças,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 13x18 cm. Ideal para celebrações de casamento.",13x18 cm,"",Casamento,"",""
1115,B1277CX,Guarda-Jóias,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 12x10 cm. Ideal para celebrar bodas de ouro (50 anos).",12x10 cm,"",50 Anos,"",""
1116,B1597CX/50,Caixa Casamento,Caixa decorativa com acabamento cuidado. Dimensões: 12x10 cm. Ideal para celebrações de casamento 50 Anos.,12x10 cm,"",50 Anos,"",""
1117,B325CX,Guarda-Jóias,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 12x10 cm. Ideal para celebrações de casamento 25 Anos Alianças.",12x10 cm,"",25 Anos,"",""
1118,B6438/25,Guarda-Jóias Casamento,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 9x13 cm. Ideal para celebrações de casamento 25 Anos.",9x13 cm,"",25 Anos,"",""
1119,B6481/25,Guarda-Jóias Casamento,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 9x13 cm. Ideal para celebrações de casamento 25 Anos.",9x13 cm,"",25 Anos,"",""
1120,B6982/25,Guarda-Jóias Casamento,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 17x25 cm. Ideal para celebrações de casamento 25 Anos.",17x25 cm,"",25 Anos,"",""
1121,B6400/25,Guarda-Jóias Casamento,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 17x25 cm. Ideal para celebrações de casamento 25 Anos.",17x25 cm,"",25 Anos,"",""
1122,B3520CX,Guarda-Jóias Alianças Douradas,"Guarda-Jóias com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 10x8,5 cm.","","",Casamento,"",""
1123,B315CX/50,Guarda-Jóias Casamento,"Guarda-Jóias 50 Anos com interior forrado, ideal para proteger e organizar Jóias e acessórios. Dimensões: 10x8,5 cm.",10x8.5 cm,"",50 Anos,"",""
1125,B16/9034,Álbum Casamento Pele Castanha,Álbum Casamento Pele Castanha 25 Anos. Dimensões: 23x30 cm. Ideal para celebrações de casamento.,23x30 cm,"",25 Anos,"",""
1126,B16/9037,Álbum Casamento Pele Casamento,Álbum Casamento Pele Comalianças. Dimensões: 23x30 cm. Ideal para celebrações de casamento.,"","",Casamento,"",""
1127,B16/9027,Álbum Casamento Pele Castanha Com Alianças,Álbum Casamento Pele Castanha Comalianças. Dimensões: 35x35 cm. Ideal para celebrações de casamento.,"","",Casamento,"",""
